YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2025,1,1,20408,5V,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,1,217244.00,0.00,217244.00,0.00,0.00,0.00,0.00,217244.00,14720.00,137635.00,152355.00,0.00,0.00,0.00,0.00,0.00,152355.00,369599.00,0.00,369599.00,614411.00,0.00,614411.00,0.00,0.00,0.00,0.00,614411.00,41631.00,389260.00,430891.00,0.00,0.00,0.00,0.00,0.00,430891.00,1045302.00,0.00,1045302.00
2025,1,1,20409,B6,B6,JetBlue Airways,3,0.00,45650099.00,45650099.00,2248937.00,0.00,16630777.00,18879714.00,64529813.00,0.00,31689.00,31689.00,0.00,0.00,13194.00,0.00,13194.00,44883.00,45681788.00,18892908.00,64574696.00,0.00,115761493.00,115761493.00,5702952.00,0.00,42173043.00,47875995.00,163637488.00,0.00,75076.00,75076.00,0.00,0.00,31006.00,0.00,31006.00,106082.00,115836569.00,47907001.00,163743570.00
2025,1,1,20416,NK,NK,Spirit Air Lines,3,0.00,32121795.00,32121795.00,0.00,0.00,5299738.00,5299738.00,37421533.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32121795.00,5299738.00,37421533.00,0.00,84430888.00,84430888.00,0.00,0.00,13930154.00,13930154.00,98361042.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84430888.00,13930154.00,98361042.00
2025,1,1,20422,SY,SY,Sun Country Airlines d/b/a MN Airlines,3,0.00,6141574.00,6141574.00,0.00,0.00,1638453.00,1638453.00,7780027.00,0.00,1121550.00,1121550.00,0.00,0.00,159746.00,24293.00,184039.00,1305589.00,7263124.00,1822492.00,9085616.00,0.00,16827911.00,16827911.00,0.00,0.00,4489362.00,4489362.00,21317273.00,0.00,3073046.00,3073046.00,0.00,0.00,437704.00,66563.00,504267.00,3577313.00,19900957.00,4993629.00,24894586.00
2025,1,1,20427,PT,PT,Piedmont Airlines,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,20436,F9,F9,Frontier Airlines Inc.,3,0.00,27245881.00,27245881.00,0.00,0.00,1591043.00,1591043.00,28836924.00,0.00,5455.00,5455.00,0.00,0.00,23637.00,0.00,23637.00,29092.00,27251336.00,1614680.00,28866016.00,0.00,61715905.00,61715905.00,0.00,0.00,4045506.00,4045506.00,65761411.00,0.00,12439.00,12439.00,0.00,0.00,53903.00,0.00,53903.00,66342.00,61728344.00,4099409.00,65827753.00
2025,1,1,20445,C5,C5,CommuteAir LLC dba CommuteAir,2,0.00,643.00,643.00,0.00,0.00,0.00,0.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,643.00,0.00,643.00,0.00,643.00,643.00,0.00,0.00,0.00,0.00,643.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,643.00,0.00,643.00
2025,1,1,20447,U7,U7,USA Jet Airlines Inc.,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,398950.00,398950.00,0.00,0.00,28444.00,0.00,28444.00,427394.00,398950.00,28444.00,427394.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1139175.00,1139175.00,0.00,0.00,91219.00,0.00,91219.00,1230394.00,1139175.00,91219.00,1230394.00
2025,1,1,20452,YX,YX,Republic Airline,3,0.00,49125.00,49125.00,0.00,0.00,0.00,0.00,49125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49125.00,0.00,49125.00,0.00,118284.00,118284.00,0.00,0.00,0.00,0.00,118284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118284.00,0.00,118284.00
2025,1,1,20453,ABX,ABX,ABX Air Inc,2,0.00,17647.00,17647.00,0.00,0.00,0.00,0.00,17647.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17647.00,0.00,17647.00,0.00,64810.00,64810.00,0.00,0.00,0.00,0.00,64810.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64810.00,0.00,64810.00
