NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,TOTAL_PROPERTY,PROP_FREIGHT,PROP_BAG,TOTAL_CHARTER,CHARTER_PAX,CHARTER_PROP,TOTAL_MISC_REV,RES_CANCEL_FEES,MISC_OP_REV,PUB_SVC_REVENUE,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,PROMOTION_SALES,GENERAL_ADMIN,GENERAL_SERVICES,DEPREC_AMORT,TRANS_EXPENSES,OP_EXPENSES,INTEREST_LONG_DEBT,INTEREST_EXP_OTH,FOREIGN_EX_GAINS,CAP_GAINS_PROP,CAP_GAINS_OTHER,OTHER_INCOME_NET,NON_OP_INCOME,INCOME_PRE_TAX,INCOME_TAX,INCOME_BEFORE_OTH,DISCONT_OPS,EXTRA_ITEMS,INCOME_TAX_EXTRA,INCOME_TAX_CREDITS,ACCTG_CHANGES,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
65.63,121.69,15920.68,0.00,,0.00,0.00,,0.00,0.00,,0.00,5.31,,0.67,15926.67,5593.28,3508.38,768.26,3837.60,18.56,1980.79,0.00,97.73,0.37,15804.98,0.00,0.00,-0.03,0.00,0.00,-56.48,-56.51,65.18,-0.45,65.63,0.00,0.00,0.00,,0.00,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2024,2
97.25,143.97,0.00,0.00,,0.00,0.00,,0.00,5283.22,,0.00,0.00,0.00,0.00,5283.22,3443.93,334.28,0.00,0.00,0.00,0.00,1259.65,101.40,0.00,5139.26,0.00,-50.19,0.00,0.00,0.00,3.48,-46.72,97.25,0.00,97.25,0.00,0.00,0.00,,0.00,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06565,D,1,1,2024,4
131.28,194.35,0.00,0.00,,0.00,0.00,,0.00,7132.10,,0.00,0.00,0.00,0.00,7132.10,4649.14,451.26,0.00,0.00,0.00,0.00,1700.47,136.88,0.00,6937.75,0.00,-67.76,0.00,0.00,0.00,4.69,-63.07,131.28,0.00,131.28,0.00,0.00,0.00,,0.00,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,16565,I,1,1,2024,4
132.14,126.73,2134.13,0.00,,0.00,0.00,,0.00,0.00,,0.00,15.81,0.00,0.00,2149.94,717.72,863.88,91.00,88.88,1.44,237.05,0.00,23.24,0.00,2023.20,0.00,-16.92,0.00,0.00,1.46,20.92,5.46,132.19,0.06,132.14,0.00,0.00,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,11059,L,2,2,2024,4
147.32,143.19,2593.39,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2593.39,806.58,1111.12,97.37,115.91,1.10,288.69,0.00,29.44,0.00,2450.21,0.00,-21.77,0.00,0.00,1.76,24.39,4.38,147.56,0.25,147.32,0.00,0.00,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,11059,L,2,2,2024,1
184.27,320.53,15673.73,0.00,,0.00,0.00,,0.00,0.00,,0.00,2.85,,10.49,15687.06,5448.53,3178.89,737.98,3873.58,17.34,2007.41,0.00,102.54,0.26,15366.53,0.00,0.00,-0.01,0.00,0.00,-59.52,-59.54,260.99,76.73,184.27,0.00,0.00,0.00,,0.00,20398,MQ,Envoy Air,MQ,Envoy Air,16820,L,3,3,2024,3
205.84,190.30,2588.58,0.00,,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,2588.58,766.14,1138.00,85.61,109.47,1.97,269.45,0.00,27.62,0.00,2398.28,0.00,-20.40,0.00,0.00,1.17,23.00,3.77,194.07,6.51,187.55,0.00,18.29,0.00,,0.00,20445,C5,CommuteAir LLC dba CommuteAir,C5,CommuteAir LLC dba CommuteAir,11059,L,2,2,2024,2
219.87,-52.74,,11441.00,,1504.06,,,,1179.30,,,,,,14124.36,6368.97,4123.16,,1335.01,,964.08,,1385.88,,14177.10,,,,,,272.61,272.61,219.87,,219.87,,,,,,20177,PFQ,Asia Pacific,PFQ,Asia Pacific,06070,D,1,1,2024,2
221.53,287.11,0.00,0.00,,0.00,0.00,,0.00,3705.85,,0.00,0.00,0.00,0.00,3705.85,2264.79,232.49,0.00,0.00,0.00,0.00,825.82,95.64,0.00,3418.74,0.00,-63.05,0.00,0.00,0.00,3.89,-59.15,227.96,6.43,221.53,0.00,0.00,0.00,,0.00,20166,GFQ,Gulf And Caribbean Cargo,GFQ,Gulf And Caribbean Cargo,06565,D,1,1,2024,3
228.84,-48.31,0.00,0.00,,0.00,0.00,,577.90,0.00,,0.00,432.97,0.00,0.00,1010.87,416.37,119.94,29.26,315.64,1.13,148.49,0.00,28.35,0.00,1059.18,0.00,0.00,0.00,0.00,0.00,277.15,277.15,228.84,0.00,228.84,0.00,0.00,0.00,,0.00,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic ",06076,D,1,1,2024,4
